epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,10682.5,0.54963,0.3774,1.03562,0.81193,0.72526,0.79158,0.48083,1.44422,1.03992,1.73315,0.0026245,0.0026245,0.0026245
151,10751.5,0.54003,0.37017,1.02873,0.81136,0.72504,0.79155,0.48284,1.44556,1.04128,1.73505,0.002575,0.002575,0.002575
152,10820.7,0.5416,0.37208,1.03188,0.81732,0.73033,0.7931,0.48188,1.4504,1.03868,1.73992,0.0025255,0.0025255,0.0025255
153,10889.8,0.53695,0.37487,1.02878,0.81801,0.72591,0.79114,0.48205,1.45472,1.04352,1.74287,0.002476,0.002476,0.002476
154,10959,0.53534,0.37089,1.02469,0.8159,0.73195,0.79109,0.48184,1.45727,1.04969,1.74461,0.0024265,0.0024265,0.0024265
155,11027.9,0.5256,0.36329,1.02261,0.8193,0.71632,0.78829,0.48243,1.45684,1.05027,1.74525,0.002377,0.002377,0.002377
156,11096.8,0.5234,0.36022,1.02256,0.85216,0.69285,0.7877,0.4813,1.45544,1.05634,1.74472,0.0023275,0.0023275,0.0023275
157,11166,0.52689,0.36363,1.02332,0.81249,0.72113,0.78745,0.48155,1.45621,1.06012,1.74652,0.002278,0.002278,0.002278
158,11235,0.52523,0.36353,1.02149,0.80956,0.72478,0.78735,0.47993,1.45744,1.05918,1.74769,0.0022285,0.0022285,0.0022285
159,11304.1,0.52117,0.35683,1.01939,0.80824,0.72501,0.7876,0.48126,1.45573,1.06145,1.74593,0.002179,0.002179,0.002179
160,11372.9,0.51626,0.3559,1.0141,0.80985,0.72754,0.78688,0.47921,1.45568,1.06652,1.74598,0.0021295,0.0021295,0.0021295
161,11442.3,0.51082,0.35246,1.01314,0.81042,0.72593,0.78533,0.47915,1.45294,1.06873,1.74327,0.00208,0.00208,0.00208
162,11511.2,0.50976,0.35241,1.01612,0.86479,0.68491,0.78544,0.47868,1.45383,1.07405,1.74462,0.0020305,0.0020305,0.0020305
163,11580,0.50898,0.3516,1.00978,0.86222,0.6851,0.78557,0.47878,1.45485,1.07782,1.74592,0.001981,0.001981,0.001981
164,11649.4,0.50838,0.35108,1.01614,0.81053,0.72543,0.78566,0.48005,1.45454,1.08155,1.74669,0.0019315,0.0019315,0.0019315
165,11718.4,0.5107,0.34978,1.02091,0.86629,0.68342,0.78588,0.47948,1.4541,1.09243,1.74689,0.001882,0.001882,0.001882
166,11787.9,0.49886,0.34195,1.00658,0.85572,0.68686,0.78614,0.48055,1.45461,1.08943,1.74678,0.0018325,0.0018325,0.0018325
167,11856.9,0.49532,0.34292,1.00693,0.85979,0.68657,0.78691,0.48005,1.45386,1.09318,1.74599,0.001783,0.001783,0.001783
168,11926.1,0.49176,0.34087,1.0036,0.85158,0.69138,0.78678,0.48019,1.45408,1.09867,1.7462,0.0017335,0.0017335,0.0017335
169,11995.1,0.48826,0.33577,1.00252,0.85553,0.68966,0.78634,0.48003,1.45279,1.09609,1.74451,0.001684,0.001684,0.001684
170,12064,0.49263,0.33717,1.00712,0.85616,0.6874,0.78529,0.47915,1.45435,1.10037,1.7459,0.0016345,0.0016345,0.0016345
171,12133.2,0.48208,0.33146,0.99967,0.85957,0.69005,0.78505,0.48113,1.45332,1.103,1.74626,0.001585,0.001585,0.001585
172,12202.3,0.4801,0.32645,0.99814,0.85716,0.69112,0.78458,0.48002,1.45398,1.10162,1.74777,0.0015355,0.0015355,0.0015355
173,12271.6,0.48041,0.33145,0.99612,0.85783,0.68984,0.78345,0.47967,1.45672,1.10271,1.75142,0.001486,0.001486,0.001486
174,12340.7,0.47915,0.32945,0.99863,0.85869,0.68679,0.78091,0.47821,1.45825,1.10053,1.75408,0.0014365,0.0014365,0.0014365
175,12409.7,0.47182,0.32738,0.99287,0.85383,0.68358,0.77678,0.47736,1.46118,1.10391,1.76004,0.001387,0.001387,0.001387
176,12479,0.46685,0.3294,0.98874,0.8048,0.71538,0.77719,0.47612,1.46255,1.10504,1.7624,0.0013375,0.0013375,0.0013375
177,12548,0.47231,0.32499,0.99203,0.80824,0.71455,0.7776,0.47738,1.46634,1.10708,1.76742,0.001288,0.001288,0.001288
178,12617.2,0.46645,0.31964,0.98875,0.81704,0.71321,0.77712,0.47793,1.46688,1.10531,1.7685,0.0012385,0.0012385,0.0012385
179,12686,0.46563,0.32418,0.99579,0.84399,0.69406,0.77811,0.47813,1.46989,1.10851,1.7714,0.001189,0.001189,0.001189
180,12755.3,0.45906,0.31877,0.99152,0.81522,0.71438,0.77865,0.47839,1.47006,1.10554,1.772,0.0011395,0.0011395,0.0011395
181,12824.3,0.46118,0.31912,0.98989,0.81515,0.71217,0.77801,0.47973,1.47004,1.10455,1.77268,0.00109,0.00109,0.00109
182,12893.1,0.45394,0.31278,0.9846,0.85345,0.68493,0.77778,0.47764,1.47164,1.10526,1.7757,0.0010405,0.0010405,0.0010405
183,12962.4,0.45868,0.31819,0.98797,0.84874,0.68609,0.77784,0.47683,1.47228,1.10297,1.77677,0.000991,0.000991,0.000991
